ticker,quarter,year,priceToEarning,priceToBook,roe,roa,earningPerShare,bookValuePerShare,equityOnTotalAsset,equityOnLiability,epsChange,bookValuePerShareChange
BVS,4,2014,,,,0.071,1816,,,2.5,0.35,
BVS,3,2014,,,,0.052,1345,,,1.7,0.073,
BVS,2,2014,,,,0.049,1253,,,1.7,0.047,
BVS,1,2014,,,,0.047,1197,,,1.4,0.009,
BVS,4,2013,,,,0.051,1186,,,2.1,0.066,
BVS,3,2013,,,,0.05,1113,,,2.3,0.169,
BVS,2,2013,,,,0.044,952,,,2.5,-0.325,
BVS,1,2013,,,,0.065,1411,,,3.4,0.311,
C32,4,2022,10.0,0.4,0.046,0.026,1749,39201.0,0.581,1.4,-0.479,0.003
C32,3,2022,6.6,0.6,0.087,0.053,3355,39066.0,0.589,1.4,-0.228,-0.015
C32,2,2022,5.2,0.6,0.114,0.068,4348,39681.0,0.589,1.4,-0.084,0.011
C32,1,2022,6.3,0.8,0.125,0.074,4748,39236.0,0.596,1.5,0.004,0.055
C32,4,2021,6.2,0.8,0.128,0.073,4730,37193.0,0.575,1.4,0.049,-0.027
C32,3,2021,6.5,0.8,0.12,0.074,4508,38214.0,0.643,1.8,0.245,0.043
C32,2,2021,6.3,0.6,0.1,0.059,3620,36625.0,0.6,1.5,-0.24,-0.01
C32,1,2021,5.3,0.7,0.134,0.077,4765,36981.0,0.6,1.5,-0.14,0.002
C32,4,2020,4.3,0.6,0.156,0.089,5543,36920.0,0.566,1.3,-0.044,0.004
C32,3,2020,3.8,0.6,0.164,0.097,5795,36777.0,0.588,1.4,-0.022,0.022
C32,2,2020,3.1,0.5,0.172,0.101,5928,35999.0,0.577,1.4,0.026,0.058
C32,1,2020,2.8,0.5,0.176,0.1,5775,34010.0,0.555,1.2,0.159,-0.003
C32,4,2019,3.9,0.6,0.147,0.088,4983,34106.0,0.572,1.3,0.207,0.012
C32,3,2019,4.2,0.5,0.122,0.075,4127,33694.0,0.587,1.4,-0.249,0.027
C32,2,2019,4.0,0.7,0.171,0.105,5492,32807.0,0.597,1.5,-0.175,0.039
C32,1,2019,3.4,0.7,0.216,0.132,6661,31562.0,0.585,1.4,-0.048,-0.059
C32,4,2018,2.9,0.6,0.223,0.136,6994,33550.0,0.632,1.7,-0.06,-0.008
C32,3,2018,3.1,0.7,0.237,0.154,7439,33835.0,0.648,1.8,0.037,0.071
C32,2,2018,2.7,0.6,0.245,0.157,7172,31581.0,0.63,1.7,0.229,0.049
C32,1,2018,4.2,0.8,0.207,0.139,5834,30093.0,0.645,1.8,-0.036,0.03
C32,4,2017,4.2,0.9,0.221,0.14,6049,29225.0,0.586,1.4,-0.018,0.009
C32,3,2017,3.7,0.8,0.229,0.16,6163,28956.0,0.656,1.9,0.047,0.074
C32,2,2017,4.6,1.0,0.234,0.158,5889,26969.0,0.65,1.9,-0.049,0.028
C32,1,2017,4.1,1.0,0.252,0.184,6193,26231.0,0.705,2.4,-0.042,0.026
C32,4,2016,3.8,1.0,0.275,0.195,6465,25557.0,0.695,2.3,-0.123,0.023
C32,3,2016,5.0,1.5,0.328,0.249,7369,24977.0,0.758,3.1,0.047,0.074
C32,2,2016,3.9,1.2,0.335,0.243,7038,23265.0,0.707,2.4,0.109,0.016
C32,1,2016,3.9,1.1,0.305,0.238,6345,22894.0,0.757,3.1,-0.018,0.07
C32,4,2015,2.6,0.8,0.334,0.238,6459,21389.0,0.725,2.6,0.194,0.075
C32,3,2015,2.8,0.8,0.294,0.224,5411,19905.0,0.757,3.1,0.033,0.06
C32,2,2015,2.8,0.8,0.304,0.225,5240,18786.0,0.752,3.0,0.018,0.007
C32,1,2015,2.8,0.8,0.3,0.239,5145,18661.0,0.807,4.2,0.077,0.078
C32,4,2014,,,0.3,0.204,4777,17315.0,0.697,2.3,0.075,0.026
C32,3,2014,,,0.284,0.211,4442,16879.0,0.768,3.3,-0.062,0.077
C32,2,2014,,,0.331,0.233,4738,15669.0,0.722,2.6,-0.04,-0.001
C32,1,2014,,,0.349,0.261,4936,15680.0,0.784,3.6,0.142,0.079
C32,4,2013,,,0.313,0.209,4322,14527.0,0.661,2.0,0.087,0.007
C32,3,2013,,,0.296,0.207,3975,14426.0,0.719,2.6,0.241,0.117
C32,2,2013,,,0.261,0.176,3204,12919.0,0.678,2.1,0.172,0.023
C32,1,2013,,,0.223,0.154,2734,12632.0,0.71,2.4,-0.038,-0.033
CAN,4,2022,15.1,1.6,0.109,0.034,3218,29556.0,0.301,0.4,-0.203,0.013
CAN,3,2022,13.2,1.8,0.141,0.045,4040,29165.0,0.295,0.4,-0.365,0.053
CAN,2,2022,10.3,2.4,0.244,0.078,6364,27705.0,0.31,0.4,-0.155,-0.103
CAN,1,2022,6.3,1.5,0.267,0.1,7534,30878.0,0.39,0.6,0.29,0.046
CAN,4,2021,9.4,1.9,0.211,0.069,5843,29516.0,0.33,0.5,0.096,0.043
CAN,3,2021,6.1,1.1,0.197,0.067,5333,28304.0,0.347,0.5,1.367,0.154
CAN,2,2021,14.2,1.3,0.09,0.034,2253,24520.0,0.337,0.5,-0.135,-0.04
CAN,1,2021,9.5,1.0,0.104,0.04,2603,25552.0,0.358,0.6,-0.299,-0.017
CAN,4,2020,6.2,0.9,0.149,0.054,3716,25988.0,0.327,0.5,-0.073,0.01
CAN,3,2020,7.0,1.1,0.165,0.058,4009,25718.0,0.335,0.5,-0.209,0.016
CAN,2,2020,4.2,0.8,0.218,0.096,5067,25315.0,0.437,0.8,0.37,0.023
CAN,1,2020,5.7,0.8,0.16,0.069,3698,24747.0,0.417,0.7,0.28,0.032
CAN,4,2019,6.9,0.8,0.126,0.055,2890,23973.0,0.413,0.7,0.382,0.043
CAN,3,2019,13.1,1.2,0.093,0.04,2091,22977.0,0.378,0.6,0.03,0.083
CAN,2,2019,18.5,1.8,0.098,0.049,2030,21215.0,0.443,0.8,6.085,-0.014
CAN,1,2019,132.3,1.8,0.013,0.006,286,21516.0,0.455,0.8,-10.182,-0.024
CAN,4,2018,-653.6,0.9,-0.001,-0.001,-31,22036.0,0.46,0.9,-0.973,0.009
CAN,3,2018,-21.1,1.1,-0.05,-0.027,-1136,21838.0,0.494,1.0,-0.079,0.084
CAN,2,2018,-21.1,1.3,-0.058,-0.034,-1234,20138.0,0.587,1.4,-5.263,-0.112
CAN,1,2018,84.0,1.1,0.013,0.007,289,22683.0,0.539,1.2,-0.704,-0.035
CAN,4,2017,25.7,1.1,0.042,0.022,979,23507.0,0.521,1.1,-0.412,-0.021
