TradingDate,Open,High,Low,Close,Volume,percent_change
9/8/2020,9554,9581,9420,9554,3480610,0.005684211
9/7/2020,9715,9742,9500,9500,7654310,-0.01940545
9/4/2020,9581,9715,9581,9688,5064490,-0.008291534
9/3/2020,9769,9849,9715,9769,4950930,0.005558415
9/1/2020,9688,9715,9608,9715,5064400,0.008407723
8/31/2020,9661,9769,9608,9634,3916140,0.002706078
8/28/2020,9661,9742,9608,9608,6040590,0
8/27/2020,9608,9661,9527,9608,3597610,0
8/26/2020,9661,9742,9608,9608,5231990,-0.008257638
8/25/2020,9608,9822,9581,9688,12351760,0.014025539
8/24/2020,9339,9581,9339,9554,8344270,0.02886065
8/21/2020,9151,9286,9125,9286,5135520,0.014752486
8/20/2020,9151,9205,9098,9151,4196330,0
8/19/2020,9125,9151,9071,9151,3899030,0.002849315
8/18/2020,9178,9205,9071,9125,2714080,-0.005774679
8/17/2020,9205,9232,9044,9178,3857910,-0.002933188
8/14/2020,9071,9232,9044,9205,5684510,0.011760827
8/13/2020,9098,9125,9017,9098,2730880,0.005970809
8/12/2020,8856,9071,8856,9044,5592880,0.021228546
8/11/2020,8883,8910,8803,8856,3279300,0.003058104
8/10/2020,8856,8883,8776,8829,3695170,0.009143902
8/7/2020,8803,8829,8749,8749,2043440,-0.003076572
8/6/2020,8829,8883,8776,8776,3050260,-0.01204548
8/5/2020,8803,8883,8695,8883,2939150,0.009087811
8/4/2020,8749,8856,8695,8803,2557000,0.012420932
8/3/2020,8427,8695,8427,8695,4195230,0.028507216
7/31/2020,8427,8534,8319,8454,2822800,-0.006230163
7/30/2020,8480,8534,8427,8507,2740330,0.012738095
7/29/2020,8534,8534,8239,8400,4891540,-0.039890273
7/28/2020,8534,8776,8319,8749,6476500,0.061900716
7/27/2020,8534,8641,8239,8239,9988390,-0.06967028
7/24/2020,9125,9125,8803,8856,8288120,-0.032236914
7/23/2020,9205,9232,9098,9151,3208620,-0.005866377
7/22/2020,9339,9339,9205,9205,2724680,-0.008722809
7/21/2020,9286,9286,9205,9286,3066900,0.00584922
7/20/2020,9393,9420,9232,9232,3056310,-0.017140424
7/17/2020,9393,9420,9339,9393,3957050,0
7/16/2020,9393,9393,9286,9393,3783960,0.011522722
7/15/2020,9259,9339,9232,9286,2941050,0.008799565
7/14/2020,9205,9232,9125,9205,3552800,-0.00292461
7/13/2020,9259,9339,9205,9232,2322950,-0.002916082
7/10/2020,9339,9339,9232,9259,2151820,-0.011424301
7/9/2020,9259,9393,9232,9366,3777860,0.017490494
7/8/2020,9151,9232,9151,9205,1816440,0.002941817
7/7/2020,9205,9232,9125,9178,3562940,0.005808219
7/6/2020,9071,9205,9044,9125,2970930,0.008956214
7/3/2020,9071,9098,9017,9044,1241470,0
7/2/2020,9071,9098,8990,9044,1628160,-0.002976519
7/1/2020,8937,9071,8910,9071,2067570,0.018069585
6/30/2020,9125,9178,8883,8910,3399510,-0.014816453
6/29/2020,9232,9286,8990,9044,5960860,-0.028780069
6/26/2020,9366,9393,9259,9312,1999300,0
6/25/2020,9339,9366,9286,9312,2709130,-0.011464968
6/24/2020,9420,9554,9393,9420,5739200,0.002874481
6/23/2020,9393,9473,9366,9393,3682810,0
6/22/2020,9393,9527,9366,9393,2622880,0
6/19/2020,9339,9393,9286,9393,3111870,0.011522722
6/18/2020,9312,9339,9232,9286,2294180,0
6/17/2020,9339,9393,9259,9286,2160720,-0.005675126
6/16/2020,9259,9393,9205,9339,5876970,0.023452055
6/15/2020,9500,9527,9071,9125,9023320,-0.036735986
6/12/2020,9178,9473,9178,9473,10033880,0.008516981
6/11/2020,10037,10118,9393,9393,9855080,-0.059100471
6/10/2020,9688,10118,9634,9983,10294970,0.027586207
6/9/2020,9742,9769,9688,9715,5953860,0
6/8/2020,9742,9822,9688,9715,8114180,0.011136553
6/5/2020,9634,9661,9554,9608,6864850,-0.005485975
6/4/2020,9742,9822,9661,9661,8631510,-0.002786953
6/3/2020,9661,9715,9608,9688,4396970,0.008326395
6/2/2020,9661,9822,9608,9608,14019730,0.002818077
6/1/2020,9259,9688,9259,9581,17148300,0.037803293
5/29/2020,9286,9286,9205,9232,4370270,-0.005815206
5/28/2020,9312,9393,9259,9286,3439560,0
5/27/2020,9554,9554,9286,9286,10811090,-0.017042447
5/26/2020,9339,9447,9312,9447,9158970,0.017337928
5/25/2020,9259,9366,9232,9286,4244600,0.002916082
5/22/2020,9393,9473,9232,9259,7705210,-0.019900498
5/21/2020,9312,9473,9259,9447,8733490,0.017337928
5/20/2020,9259,9339,9205,9286,4064620,-0.005675126
5/19/2020,9339,9393,9259,9339,9169410,0.020544203
5/18/2020,9098,9178,9017,9151,4693050,0.005825456
5/15/2020,9339,9366,9098,9098,8051150,-0.020245531
5/14/2020,9286,9420,9178,9286,7371050,-0.011391462
5/13/2020,9339,9473,9125,9393,10535970,0.017439341
5/12/2020,9017,9232,8910,9232,11943010,0.023843851
5/11/2020,9071,9125,8856,9017,13871460,0.012008979
5/8/2020,8803,9125,8803,8910,12648540,0.018402103
5/7/2020,8561,8776,8561,8749,6237880,0.021960051
5/6/2020,8534,8588,8427,8561,3827470,0.009551887
5/5/2020,8534,8561,8400,8480,2512680,-0.003173857
5/4/2020,8561,8615,8507,8507,2266940,-0.006307674
4/29/2020,8534,8641,8507,8561,2734790,0.009551887
4/28/2020,8480,8561,8373,8480,2897820,0.006289308
4/27/2020,8641,8695,8427,8427,4853010,-0.021822403
4/24/2020,8615,8668,8534,8615,2664100,-0.006114444
4/23/2020,8803,8829,8615,8668,3568320,0.003124638
4/22/2020,8185,8668,8185,8641,5228620,0.028690476
4/21/2020,8803,8829,8400,8400,10667070,-0.060087278
4/20/2020,9125,9205,8910,8937,10896580,-0.02060274
4/17/2020,8964,9205,8910,9125,7574590,0.030374887
4/16/2020,8722,8856,8588,8856,4540410,0.00911577
4/15/2020,8588,8856,8534,8776,10310960,0.02835716
4/14/2020,8588,8588,8319,8534,7022430,0.009462976
4/13/2020,8346,8615,8319,8454,6297620,0.012940331
4/10/2020,8480,8561,8293,8346,8220670,-0.015801887
4/9/2020,8588,8641,8427,8480,7173300,0.006289308
4/8/2020,8319,8507,8266,8427,4976890,-0.015652377
4/7/2020,8668,8695,8427,8561,12576310,0.012656731
4/6/2020,8158,8454,8132,8454,7996310,0.067828723
4/3/2020,7675,8024,7649,7917,5151710,0.03503726
4/1/2020,7219,7675,7165,7649,6406330,0.051698061
3/31/2020,7407,7568,7058,7273,5690150,-0.00369863
3/30/2020,7514,7568,7300,7300,7287180,-0.068402246
3/27/2020,8105,8132,7783,7836,5378700,-0.02995791
3/26/2020,8319,8346,8078,8078,4627510,-0.038333333
3/25/2020,8212,8400,8078,8400,6925670,0.057401813
3/24/2020,8051,8051,7756,7944,7412520,-0.006627485
3/23/2020,8158,8373,7997,7997,9616920,-0.068816954
3/20/2020,8668,8749,8561,8588,4348520,-0.006133549
3/19/2020,8695,8803,8588,8641,3879280,-0.024277326
3/18/2020,9098,9098,8856,8856,5287310,-0.012048193
3/17/2020,8588,8964,8454,8964,9350190,0.01529052
3/16/2020,9205,9286,8803,8829,4256130,-0.038025714
3/13/2020,8507,9608,8480,9178,11673000,0.008793141
3/12/2020,9339,9447,9098,9098,15483860,-0.068686662
3/11/2020,10440,10466,9608,9769,7990830,-0.049615721
3/10/2020,10144,10493,10064,10279,7083800,-0.005129694
3/9/2020,10493,10681,10332,10332,12282460,-0.067845543
3/6/2020,11003,11110,10949,11084,3822460,0
3/5/2020,11218,11245,11084,11084,4512210,-0.004758912
3/4/2020,11164,11191,11057,11137,3856070,-0.007220538
3/3/2020,11298,11352,11164,11218,5788700,0.009720972
3/2/2020,11003,11164,10976,11110,4996110,0.014704539
